question_id,resolution,forecast_id,stage,condition,model,info_label,position,probability
37014,1,37014-sonnet-info3,independent,,sonnet,info3,,18
37014,1,37014-sonnet-none,independent,,sonnet,none,,30
37015,1,37015-gpt5-full-1,independent,,gpt5,full,,14
37015,1,37015-gpt5-full-2,independent,,gpt5,full,,17
37015,1,37015-gpt5-full-3,independent,,gpt5,full,,16
37015,1,37015-gpt5-full,independent,,gpt5,full,,12
37015,1,37015-gpt5-info1-1,independent,,gpt5,info1,,9
37015,1,37015-gpt5-info2-2,independent,,gpt5,info2,,22
37015,1,37015-gpt5-info2,independent,,gpt5,info2,,30
37015,1,37015-gpt5-info3-3,independent,,gpt5,info3,,22
37015,1,37015-gpt5-none-1,independent,,gpt5,none,,22
37015,1,37015-gpt5-none-2,independent,,gpt5,none,,27
37015,1,37015-gpt5-none-3,independent,,gpt5,none,,25
37015,1,37015-gpt5-none,independent,,gpt5,none,,21
37015,1,37015-pro-full,independent,,pro,full,,10
37015,1,37015-pro-info3,independent,,pro,info3,,15
37015,1,37015-pro-none,independent,,pro,none,,25
37015,1,37015-sonnet-full,independent,,sonnet,full,,12
37015,1,37015-sonnet-info1,independent,,sonnet,info1,,8
37015,1,37015-sonnet-none,independent,,sonnet,none,,15
37018,0,37018-gpt5-full,independent,,gpt5,full,,20
37018,0,37018-gpt5-info1,independent,,gpt5,info1,,24
37018,0,37018-gpt5-none,independent,,gpt5,none,,40
37018,0,37018-pro-full,independent,,pro,full,,25
37018,0,37018-pro-info2,independent,,pro,info2,,30
37018,0,37018-pro-none,independent,,pro,none,,35
37018,0,37018-sonnet-full-1,independent,,sonnet,full,,22
37018,0,37018-sonnet-full-2,independent,,sonnet,full,,22
37018,0,37018-sonnet-full-3,independent,,sonnet,full,,23
37018,0,37018-sonnet-full,independent,,sonnet,full,,28
37018,0,37018-sonnet-info1-1,independent,,sonnet,info1,,42
37018,0,37018-sonnet-info2-2,independent,,sonnet,info2,,28
37018,0,37018-sonnet-info3-3,independent,,sonnet,info3,,22
37018,0,37018-sonnet-info3,independent,,sonnet,info3,,20
37018,0,37018-sonnet-none-1,independent,,sonnet,none,,52
37018,0,37018-sonnet-none-2,independent,,sonnet,none,,48
37018,0,37018-sonnet-none-3,independent,,sonnet,none,,55
37018,0,37018-sonnet-none,independent,,sonnet,none,,50
37019,1,37019-gpt5-full,independent,,gpt5,full,,80
37019,1,37019-gpt5-info1,independent,,gpt5,info1,,77
37019,1,37019-gpt5-none,independent,,gpt5,none,,79
37019,1,37019-pro-full-1,independent,,pro,full,,92
37019,1,37019-pro-full-2,independent,,pro,full,,92
37019,1,37019-pro-full-3,independent,,pro,full,,90
37019,1,37019-pro-full,independent,,pro,full,,85
37019,1,37019-pro-info1-1,independent,,pro,info1,,92
37019,1,37019-pro-info2-2,independent,,pro,info2,,90
37019,1,37019-pro-info2,independent,,pro,info2,,90
37019,1,37019-pro-info3-3,independent,,pro,info3,,80
37019,1,37019-pro-none-1,independent,,pro,none,,78
37019,1,37019-pro-none-2,independent,,pro,none,,85
37019,1,37019-pro-none-3,independent,,pro,none,,78
37019,1,37019-pro-none,independent,,pro,none,,85
37019,1,37019-sonnet-full,independent,,sonnet,full,,85
37019,1,37019-sonnet-info3,independent,,sonnet,info3,,78
37019,1,37019-sonnet-none,independent,,sonnet,none,,82
37020,0,37020-gpt5-full-1,independent,,gpt5,full,,58
37020,0,37020-gpt5-full-2,independent,,gpt5,full,,60
37020,0,37020-gpt5-full-3,independent,,gpt5,full,,70
37020,0,37020-gpt5-full,independent,,gpt5,full,,55
37020,0,37020-gpt5-info1-1,independent,,gpt5,info1,,72
37020,0,37020-gpt5-info2-2,independent,,gpt5,info2,,62
37020,0,37020-gpt5-info3-3,independent,,gpt5,info3,,66
37020,0,37020-gpt5-info3,independent,,gpt5,info3,,68
37020,0,37020-gpt5-none-1,independent,,gpt5,none,,62
37020,0,37020-gpt5-none-2,independent,,gpt5,none,,62
37020,0,37020-gpt5-none-3,independent,,gpt5,none,,68
37020,0,37020-gpt5-none,independent,,gpt5,none,,62
37020,0,37020-pro-full,independent,,pro,full,,35
37020,0,37020-pro-info2,independent,,pro,info2,,40
37020,0,37020-pro-none,independent,,pro,none,,70
37020,0,37020-sonnet-full,independent,,sonnet,full,,40
37020,0,37020-sonnet-info1,independent,,sonnet,info1,,65
37020,0,37020-sonnet-none,independent,,sonnet,none,,65
37021,1,37021-gpt5-full,independent,,gpt5,full,,68
37021,1,37021-gpt5-info1,independent,,gpt5,info1,,70
37021,1,37021-gpt5-none,independent,,gpt5,none,,9
37021,1,37021-pro-full,independent,,pro,full,,85
37021,1,37021-pro-info3,independent,,pro,info3,,60
37021,1,37021-pro-none,independent,,pro,none,,35
37021,1,37021-sonnet-full-1,independent,,sonnet,full,,77
37021,1,37021-sonnet-full-2,independent,,sonnet,full,,78
37021,1,37021-sonnet-full-3,independent,,sonnet,full,,72
37021,1,37021-sonnet-full,independent,,sonnet,full,,72
37021,1,37021-sonnet-info1-1,independent,,sonnet,info1,,78
37021,1,37021-sonnet-info2-2,independent,,sonnet,info2,,18
37021,1,37021-sonnet-info2,independent,,sonnet,info2,,30
37021,1,37021-sonnet-info3-3,independent,,sonnet,info3,,62
37021,1,37021-sonnet-none-1,independent,,sonnet,none,,60
37021,1,37021-sonnet-none-2,independent,,sonnet,none,,38
37021,1,37021-sonnet-none-3,independent,,sonnet,none,,55
37021,1,37021-sonnet-none,independent,,sonnet,none,,40
37022,0,37022-gpt5-full,independent,,gpt5,full,,70
37022,0,37022-gpt5-info3,independent,,gpt5,info3,,82
37022,0,37022-gpt5-none,independent,,gpt5,none,,97
37022,0,37022-pro-full-1,independent,,pro,full,,95
37022,0,37022-pro-full-2,independent,,pro,full,,95
37022,0,37022-pro-full-3,independent,,pro,full,,90
37022,0,37022-pro-full,independent,,pro,full,,90
37022,0,37022-pro-info1-1,independent,,pro,info1,,58
37022,0,37022-pro-info2-2,independent,,pro,info2,,99
37022,0,37022-pro-info2,independent,,pro,info2,,99
37022,0,37022-pro-info3-3,independent,,pro,info3,,99
37022,0,37022-pro-none-1,independent,,pro,none,,99
37022,0,37022-pro-none-2,independent,,pro,none,,99
37022,0,37022-pro-none-3,independent,,pro,none,,99
37022,0,37022-pro-none,independent,,pro,none,,99
37022,0,37022-sonnet-full,independent,,sonnet,full,,82
37022,0,37022-sonnet-info1,independent,,sonnet,info1,,43
37022,0,37022-sonnet-none,independent,,sonnet,none,,78
37023,0,37023-gpt5-full-1,independent,,gpt5,full,,46
37023,0,37023-gpt5-full-2,independent,,gpt5,full,,40
37023,0,37023-gpt5-full-3,independent,,gpt5,full,,41
37023,0,37023-gpt5-full,independent,,gpt5,full,,41
37023,0,37023-gpt5-info1-1,independent,,gpt5,info1,,54
37023,0,37023-gpt5-info2-2,independent,,gpt5,info2,,58
37023,0,37023-gpt5-info3-3,independent,,gpt5,info3,,61
37023,0,37023-gpt5-info3,independent,,gpt5,info3,,46
37023,0,37023-gpt5-none-1,independent,,gpt5,none,,63
37023,0,37023-gpt5-none-2,independent,,gpt5,none,,60
37023,0,37023-gpt5-none-3,independent,,gpt5,none,,63
37023,0,37023-gpt5-none,independent,,gpt5,none,,65
37023,0,37023-pro-full,independent,,pro,full,,25
37023,0,37023-pro-info1,independent,,pro,info1,,40
37023,0,37023-pro-none,independent,,pro,none,,55
37023,0,37023-sonnet-full,independent,,sonnet,full,,27
37023,0,37023-sonnet-info2,independent,,sonnet,info2,,42
37023,0,37023-sonnet-none,independent,,sonnet,none,,48
37033,0,37033-gpt5-full,independent,,gpt5,full,,42
37033,0,37033-gpt5-info1,independent,,gpt5,info1,,42
37033,0,37033-gpt5-none,independent,,gpt5,none,,46
37033,0,37033-pro-full,independent,,pro,full,,35
37033,0,37033-pro-info2,independent,,pro,info2,,65
37033,0,37033-pro-none,independent,,pro,none,,35
37033,0,37033-sonnet-full-1,independent,,sonnet,full,,32
37033,0,37033-sonnet-full-2,independent,,sonnet,full,,35
37033,0,37033-sonnet-full-3,independent,,sonnet,full,,48
37033,0,37033-sonnet-full,independent,,sonnet,full,,28
37033,0,37033-sonnet-info1-1,independent,,sonnet,info1,,40
37033,0,37033-sonnet-info2-2,independent,,sonnet,info2,,25
37033,0,37033-sonnet-info3-3,independent,,sonnet,info3,,40
37033,0,37033-sonnet-info3,independent,,sonnet,info3,,35
37033,0,37033-sonnet-none-1,independent,,sonnet,none,,20
37033,0,37033-sonnet-none-2,independent,,sonnet,none,,32
37033,0,37033-sonnet-none-3,independent,,sonnet,none,,28
37033,0,37033-sonnet-none,independent,,sonnet,none,,15
37034,1,37034-gpt5-full,independent,,gpt5,full,,62
37034,1,37034-gpt5-info2,independent,,gpt5,info2,,35
37034,1,37034-gpt5-none,independent,,gpt5,none,,24
37034,1,37034-pro-full-1,independent,,pro,full,,65
37034,1,37034-pro-full-2,independent,,pro,full,,65
37034,1,37034-pro-full-3,independent,,pro,full,,68
37034,1,37034-pro-full,independent,,pro,full,,65
37034,1,37034-pro-info1-1,independent,,pro,info1,,60
37034,1,37034-pro-info2-2,independent,,pro,info2,,80
37034,1,37034-pro-info3-3,independent,,pro,info3,,65
37034,1,37034-pro-info3,independent,,pro,info3,,75
37034,1,37034-pro-none-1,independent,,pro,none,,65
37034,1,37034-pro-none-2,independent,,pro,none,,68
37034,1,37034-pro-none-3,independent,,pro,none,,35
37034,1,37034-pro-none,independent,,pro,none,,25
37034,1,37034-sonnet-full,independent,,sonnet,full,,62
37034,1,37034-sonnet-info1,independent,,sonnet,info1,,47
37034,1,37034-sonnet-none,independent,,sonnet,none,,60
37035,0,37035-gpt5-full-1,independent,,gpt5,full,,9
37035,0,37035-gpt5-full-2,independent,,gpt5,full,,8
37035,0,37035-gpt5-full-3,independent,,gpt5,full,,7
37035,0,37035-gpt5-full,independent,,gpt5,full,,6
37035,0,37035-gpt5-info1-1,independent,,gpt5,info1,,9
37035,0,37035-gpt5-info2-2,independent,,gpt5,info2,,5
37035,0,37035-gpt5-info2,independent,,gpt5,info2,,3
37035,0,37035-gpt5-info3-3,independent,,gpt5,info3,,7
37035,0,37035-gpt5-none-1,independent,,gpt5,none,,10
37035,0,37035-gpt5-none-2,independent,,gpt5,none,,11
37035,0,37035-gpt5-none-3,independent,,gpt5,none,,7
37035,0,37035-gpt5-none,independent,,gpt5,none,,7
37035,0,37035-pro-full,independent,,pro,full,,5
37035,0,37035-pro-info3,independent,,pro,info3,,8
37035,0,37035-pro-none,independent,,pro,none,,15
37035,0,37035-sonnet-full,independent,,sonnet,full,,4
37035,0,37035-sonnet-info1,independent,,sonnet,info1,,18
37035,0,37035-sonnet-none,independent,,sonnet,none,,12
37036,0,37036-gpt5-full,independent,,gpt5,full,,30
37036,0,37036-gpt5-info1,independent,,gpt5,info1,,35
37036,0,37036-gpt5-none,independent,,gpt5,none,,40
37036,0,37036-pro-full,independent,,pro,full,,40
37036,0,37036-pro-info2,independent,,pro,info2,,40
37036,0,37036-pro-none,independent,,pro,none,,65
37036,0,37036-sonnet-full-1,independent,,sonnet,full,,30
37036,0,37036-sonnet-full-2,independent,,sonnet,full,,30
37036,0,37036-sonnet-full-3,independent,,sonnet,full,,30
37036,0,37036-sonnet-full,independent,,sonnet,full,,25
37036,0,37036-sonnet-info1-1,independent,,sonnet,info1,,65
37036,0,37036-sonnet-info2-2,independent,,sonnet,info2,,40
37036,0,37036-sonnet-info3-3,independent,,sonnet,info3,,30
37036,0,37036-sonnet-info3,independent,,sonnet,info3,,28
37036,0,37036-sonnet-none-1,independent,,sonnet,none,,38
37036,0,37036-sonnet-none-2,independent,,sonnet,none,,40
37036,0,37036-sonnet-none-3,independent,,sonnet,none,,30
37036,0,37036-sonnet-none,independent,,sonnet,none,,40
37037,1,37037-gpt5-full,independent,,gpt5,full,,83
37037,1,37037-gpt5-info1,independent,,gpt5,info1,,75
37037,1,37037-gpt5-none,independent,,gpt5,none,,60
37037,1,37037-pro-full-1,independent,,pro,full,,90
37037,1,37037-pro-full-2,independent,,pro,full,,85
37037,1,37037-pro-full-3,independent,,pro,full,,90
37037,1,37037-pro-full,independent,,pro,full,,90
37037,1,37037-pro-info1-1,independent,,pro,info1,,90
37037,1,37037-pro-info2-2,independent,,pro,info2,,85
37037,1,37037-pro-info2,independent,,pro,info2,,85
37037,1,37037-pro-info3-3,independent,,pro,info3,,75
37037,1,37037-pro-none-1,independent,,pro,none,,1
37037,1,37037-pro-none-2,independent,,pro,none,,98
37037,1,37037-pro-none-3,independent,,pro,none,,95
37037,1,37037-pro-none,independent,,pro,none,,1
37037,1,37037-sonnet-full,independent,,sonnet,full,,80
37037,1,37037-sonnet-info3,independent,,sonnet,info3,,58
37037,1,37037-sonnet-none,independent,,sonnet,none,,75
37038,1,37038-gpt5-full-1,independent,,gpt5,full,,88
37038,1,37038-gpt5-full-2,independent,,gpt5,full,,88
37038,1,37038-gpt5-full-3,independent,,gpt5,full,,76
37038,1,37038-gpt5-full,independent,,gpt5,full,,82
37038,1,37038-gpt5-info1-1,independent,,gpt5,info1,,82
37038,1,37038-gpt5-info2-2,independent,,gpt5,info2,,70
37038,1,37038-gpt5-info2,independent,,gpt5,info2,,62
37038,1,37038-gpt5-info3-3,independent,,gpt5,info3,,6
37038,1,37038-gpt5-none-1,independent,,gpt5,none,,3
37038,1,37038-gpt5-none-2,independent,,gpt5,none,,5
37038,1,37038-gpt5-none-3,independent,,gpt5,none,,18
37038,1,37038-gpt5-none,independent,,gpt5,none,,7
37038,1,37038-pro-full,independent,,pro,full,,85
37038,1,37038-pro-info1,independent,,pro,info1,,90
37038,1,37038-pro-none,independent,,pro,none,,3
37038,1,37038-sonnet-full,independent,,sonnet,full,,87
37038,1,37038-sonnet-info3,independent,,sonnet,info3,,12
37038,1,37038-sonnet-none,independent,,sonnet,none,,25
37039,1,37039-gpt5-full,independent,,gpt5,full,,88
37039,1,37039-gpt5-info3,independent,,gpt5,info3,,87
37039,1,37039-gpt5-none,independent,,gpt5,none,,78
37039,1,37039-pro-full,independent,,pro,full,,90
37039,1,37039-pro-info1,independent,,pro,info1,,88
37039,1,37039-pro-none,independent,,pro,none,,65
37039,1,37039-sonnet-full-1,independent,,sonnet,full,,87
37039,1,37039-sonnet-full-2,independent,,sonnet,full,,85
37039,1,37039-sonnet-full-3,independent,,sonnet,full,,87
37039,1,37039-sonnet-full,independent,,sonnet,full,,80
37039,1,37039-sonnet-info1-1,independent,,sonnet,info1,,78
37039,1,37039-sonnet-info2-2,independent,,sonnet,info2,,70
37039,1,37039-sonnet-info2,independent,,sonnet,info2,,65
37039,1,37039-sonnet-info3-3,independent,,sonnet,info3,,87
37039,1,37039-sonnet-none-1,independent,,sonnet,none,,65
37039,1,37039-sonnet-none-2,independent,,sonnet,none,,45
37039,1,37039-sonnet-none-3,independent,,sonnet,none,,60
37039,1,37039-sonnet-none,independent,,sonnet,none,,68
37041,0,37041-gpt5-full,independent,,gpt5,full,,10
37041,0,37041-gpt5-info2,independent,,gpt5,info2,,16
37041,0,37041-gpt5-none,independent,,gpt5,none,,15
37041,0,37041-pro-full-1,independent,,pro,full,,8
37041,0,37041-pro-full-2,independent,,pro,full,,8
37041,0,37041-pro-full-3,independent,,pro,full,,5
37041,0,37041-pro-full,independent,,pro,full,,5
37041,0,37041-pro-info1-1,independent,,pro,info1,,5
37041,0,37041-pro-info1,independent,,pro,info1,,5
37041,0,37041-pro-info2-2,independent,,pro,info2,,8
37041,0,37041-pro-info3-3,independent,,pro,info3,,2
37041,0,37041-pro-none-1,independent,,pro,none,,5
37041,0,37041-pro-none-2,independent,,pro,none,,2
37041,0,37041-pro-none-3,independent,,pro,none,,1
37041,0,37041-pro-none,independent,,pro,none,,5
37041,0,37041-sonnet-full,independent,,sonnet,full,,8
37041,0,37041-sonnet-info3,independent,,sonnet,info3,,18
37041,0,37041-sonnet-none,independent,,sonnet,none,,12
37050,0,37050-gpt5-full-1,independent,,gpt5,full,,8
37050,0,37050-gpt5-full-2,independent,,gpt5,full,,9
37050,0,37050-gpt5-full-3,independent,,gpt5,full,,9
37050,0,37050-gpt5-full,independent,,gpt5,full,,14
37050,0,37050-gpt5-info1-1,independent,,gpt5,info1,,8
37050,0,37050-gpt5-info1,independent,,gpt5,info1,,10
37050,0,37050-gpt5-info2-2,independent,,gpt5,info2,,12
