question_id,resolution,title
37467,0,"Will Beyond Meat file for bankruptcy before July 1, 2025?"
37470,0,"Before July 1, 2025, will the International Traditional Karate Federation announce that Egypt has been chosen to host the 2026 Traditional Karate World Championship?"
37471,0,Will the number of new single family homes for sale in the US exceed 550 thousand in May 2025?
37472,0,"Will Sheikh Hasina return to Bangladesh before July 1, 2025?"
37475,1,"Will the USDA-posted recall by Johnsonville LLC of cheddar bratwurst for foreign matter contamination issued April 5, 2025 be closed before July 1, 2025?"
37476,0,"Will GoPro file for bankruptcy before July 1, 2025?"
37477,0,"Will the word ""tariff(s)"" disappear from the front print pages of The New York Times and Wall Street Journal by June 1, 2025?"
37614,0,"Will Mountain View, Colorado town councilor Brent Metz win his recall election on May 20, 2025?"
37620,0,"Will Ramzan Kadyrov cease to be head of the Chechen Republic before June 1, 2025?"
37621,0,"Will the NFL ban the ""Tush-Push"" before June 1, 2025?"
37626,0,Will the price of bananas reported by the US BLS for May 2025 be under 63 cents a pound?
37627,1,"Will Donald Trump and Volodymyr Zelenskyy speak on the phone with each other before June 15, 2025?"
37631,0,"Will Walmart have a higher market cap than Tesla on June 27, 2025?"
37635,1,"Will Javier Milei have a higher approval rating than Claudia Sheinbaum on June 28, 2025?"
37638,0,"Will the state of Texas ban THC before July 1, 2025?"
37639,0,"Will Mahmoud Khalil be deported before July 1, 2025?"
37640,1,"Will the EPA's EnergyStar.gov still be online on July 1, 2025?"
37641,1,"Will Circle be publicly-traded before July 1, 2025?"
37642,0,"Will the Federal Reserve cut interest rates before July 1, 2025?"
37643,0,"Will the Project 2025 Tracker spreadsheet have the objective of terminating the Public Service Loan Forgiveness program marked as complete before July 1, 2025?"
37644,0,"Before July 1, 2025, will Anthropic announce that it is planning an IPO?"
37645,0,"Will Serbia announce a general election before July 1, 2025?"
37646,0,"Will Starlink's website show Somalia as a country with Starlink availability before July 1, 2025?"
37648,0,"Will the United States and Iran announce a new nuclear deal before July 1, 2025?"
37649,0,"Will Starlink's website show Chad as a country with Starlink availability before July 1, 2025?"
37652,1,"Will Canadian Prime Minister Mark Carney have a higher approval rating than US President Donald Trump on July 1, 2025?"
37654,0,"Will the Project 2025 Tracker spreadsheet have the objective of breaking up NOAA marked as complete before July 1, 2025?"
37655,0,"Will Ukraine announce a presidential election before July 1, 2025?"
37656,0,"Will the Project 2025 Tracker spreadsheet have the objective of stopping funding for NPR and PBS marked as complete before July 1, 2025?"
37657,0,"Will there be any human cases of the novel coronavirus, HKU5-CoV-2, before July 1, 2025?"
37658,0,"Will the US Steel/Nippon Steel merger collapse before July 1, 2025?"
37659,0,"Will the Project 2025 Tracker classify at least 120 objectives as ""Done"" on July 1, 2025?"
37660,0,"Will Starlink's website show Sri Lanka as a country with Starlink availability before July 1, 2025?"
37661,1,"Will Starlink's website show Bangladesh as a country with Starlink availability before July 1, 2025?"
37664,1,"Will Claude 4 be available to the general public before July 1, 2025?"
37794,0,"Will any major league baseball player have a .400 batting average on June 1, 2025?"
37795,1,"Will the Colorado Rockies have the lowest winning percentage in the MLB on June 15, 2025?"
37796,1,"Will any jurisdictions be added to or removed from the FATF ""grey list"" following the FATF Plenary meeting in June 2025?"
37797,0,"Will any jurisdictions be added to or removed from the FATF ""black list"" following the FATF Plenary meeting in June 2025?"
37798,0,"Will the LA Dodgers have the highest winning percentage in the MLB on June 15, 2025?"
37803,0,"Will the US military's climate resiliance portal be back online on July 1, 2025?"
37804,1,"Will the CDC still recommend 0.7 mg/L fluoride as the optimal level in community water supplies on July 1, 2025?"
37805,1,"Will there be greater than 4 direct flight destinations from Saipan, Northern Mariana Islands on July 1, 2025?"
37806,0,"Will President Trump issue a new presidential action mentioning the Diversity Visa before July 1, 2025?"
37807,1,"Will the USDA still list ""snack foods"" on its ""What Can SNAP Buy?"" page on July 1, 2025?"
37808,1,"Will the US State Department's Diversity Visa page still be online on July 1, 2025?"
37809,0,"Will any major league baseball player have a .400 batting average on July 1, 2025?"
37811,1,"Will NOAA's Climate.gov still be online on July 1, 2025?"
37812,1,"Will there be greater than 51 direct flight destinations from Beirut, Lebanon on July 1, 2025?"
37813,1,Will the National UFO Reporting Center report a sighting of a cube-shaped UFO in June 2025?
37815,0,Will a pilot report of UFOs come from a country in South America in June 2025?
37817,1,"Will there be greater than 5 direct flight destinations from Koror, Palau on July 1, 2025?"
37818,0,Will Florida have the most pilot sightings of UFOs of any US state in March 2025?
37822,0,"Will Beto O'Rourke announce his candidacy for US Senator from Texas before July 1, 2025?"
37826,0,Will the Indian Armed Forces execute a kinetic attack in Pakistan proper in June 2025?
37827,0,Will a pilot report of UFOs come from a country in Africa in June 2025?
37828,0,"Before July 1, 2025, will Rippling announce that it is planning an IPO?"
37831,0,"Before July 1, 2025, will the government of Mali reverse its decision to dissolve all political parties?"
37832,0,"Before July 1, 2025, will Databricks announce that it is planning an IPO?"
37833,0,"Will Donald Trump or Elon Musk tweet (X post) about the Diversity Visa before April 1, 2025"
37836,0,"Will there be greater than 31 direct flight destinations from Erbil, Iraq on July 1, 2025?"
37837,0,Will the number of UFO sightings reported by the National UFO Reporting Center exceed 400 for June 2025?
37841,1,Will Kneecap perform at Glastonbury 2025?
37843,0,"Before July 1, 2025, will Discord announce that it is planning an IPO?"
38055,1,Will Joe Pyfer defeat someone at UFC 316?
38056,0,Will Johnny Walker defeat Azamat Murzakanov at UFC 316?
38057,1,Will Merab Dvalishvili defeat Sean O'Malley at UFC 316?
38058,1,"Will the word ""tariff"" disappear from the front pages of The New York Times and Wall Street Journal before July 2025?"
38064,1,"Will the Gamestop annual meeting take place on June 12, 2025?"
38066,0,Will Sam Altman and Elon Musk be on the stage together at YC AI Startup School?
38067,0,Will a woman win the 2025 James Beard Award for Outstanding Chef?
38071,0,Will Aaron Rouse win the Democratic primary for lieutenant governor of Virginia in June 2025?
38080,1,"Will Harvard University have a Student and Exchange Visitor Program certification on July 1, 2025?"
38084,1,"Will California have 20.0 million or more residents living in drought on June 28, 2025?"
38085,0,"Will Florida have 14.0 million or more residents living in drought on June 28, 2025?"
38088,0,"Will the median person on Bloomberg's Billionaires Index be from the United States on July 1, 2025?"
38089,1,"Will Spanish Prime Minister Pedro Sánchez have a higher approval rating than Turkey's President Recep Tayyip Erdoğan on July 1, 2025?"
38091,0,Will a country sign the Artemis Accords in June 2025?
38094,0,"Will Senator John Fetterman cease caucusing with the Democrats before July 1, 2025?"
38095,0,Will Donald Trump grant executive clemency to more than 2 individuals in June 2025?
38097,1,"Will any of these candidates be disqualified from running in the 2025 Ivorian presidential election before July 1, 2025?"
38098,0,"Will Ralph Norman declare his candidacy for the US Senate race in South Carolina before July 1, 2025?"
38101,1,"Will UK Prime Minister Keir Starmer have a higher approval rating than Japanese Prime Minister Shiguru Ishiba on July 1, 2025?"
38103,1,Will BC Hydro still exclude Tesla from its EV charger rebate program for single-family homes in July 2025?
38104,0,"Will all 10 inmates who escaped from jail in New Orleans on May 16, 2025 be recaptured before July 1, 2025?"
38105,0,"Will the IMF and Lebanon announce an agreement before July 1, 2025?"
38106,0,"Will Donald Trump visit Russia before July 1, 2025?"
38107,0,"Will James Comey be arrested before July 1, 2025?"
38108,0,"Will Doge claim a total savings of $200 billion or more on July 1, 2025?"
38109,1,Will Kalshi offer markets on daily baseball games every day in June 2025?
38110,0,"Will Benin re-open its closed land border crossings with Nigeria's Kwara state before July 1, 2025?"
38111,0,Will a UN member country newly recognize Palestine in June 2025?
38112,0,Will a new country be invited to BRICS at the 17th BRICS Summit?
38298,0,Will NOAA report that May 2025 is the hottest May on record?
38300,1,Will monthly US Industrial production have positive year-over-year growth for May 2025?
38302,1,Will China experience a 4th month in a row of deflation in its May CPI report?
38309,1,"Will Jerrauld ""Jay"" Jones win the Democratic primary for attorney general of Virginia in the 2025 election?"
38310,1,Will Volodymyr Zelenskyy attend the G7 Summit in June 2025?
38311,1,Will Donald Trump attend the G7 Summit in June 2025?
38312,1,Will India's PM Narendra Modi attend the G7 Summit in June 2025?
38319,0,Will the Northeast Japan region (Tohoku) show a month-over-month increase in April 2025?
38321,1,Will Donald Trump attend the NATO Summit in June 2025?
38322,0,Will the June 2025 University of Michigan Consumer Sentiment Final Report number be less than 54.0?
38323,1,Will the June 2025 University of Michigan Consumer Sentiment Final Report number be greater than 60.0?
38324,0,"Will the US national debt be greater than $37 trillion on June 27, 2025?"
38325,0,Will the third estimate of Q1 2025 annualized real GDP growth show an increase?
38328,0,"Will any members of the European Parliament resign before July 1, 2025?"
38330,0,"Will the New York Times mention ""reverse purchasing"" before July 1, 2025?"
38331,1,"At the end of June 2025, will Wikipedia still list all these countries as ""currently"" blocking access to X (formerly Twitter)?"
38332,1,"Will the government of Uruguay announce that its president, Yamandú Orsi, will attend the BRICS summit in July 2025?"
38333,0,"Will Francis Suarez announce his candidacy for Florida governor before July 1, 2025?"
38335,0,"Will Casey DeSantis announce her candidacy for Florida governor before July 1, 2025?"
38337,1,"Will initial jobless claims for the week ended June 21, 2025 exceed 220,000?"
38338,0,"Will John Morgan announce his candidacy for Florida governor before July 1, 2025?"
38339,0,"Will the Botas Gas Agreement between Bulgaria and Turkey be cancelled before July 1, 2025?"
38340,0,"Will Sudan ratify AfCFTA (the pan-African free trade agreement) before July 1, 2025?"
38529,0,Will Andrew Cuomo win the 2025 Democratic primary for New York City mayor?
38540,0,Will an OpenAI model be ranked #1 overall on the Chatbot Arena Leaderboard at the end of the 2nd Quarter of 2025?
38543,0,"Will Donald Trump visit China before July 1, 2025?"
